city,time,Stations,Aqi,level,Pm25,Pm10,Pripol
广州,2023年01月04日 10:00,广州花都师范,59,良,42 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州监测站,57,良,40 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州帽峰山森林公园(对照点),57,良,40 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州五中,57,良,38 μg/m,,PM10
广州,2023年01月04日 10:00,广州花都梯面,56,良,39 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州八十六中,55,良,38 μg/m,,PM10
广州,2023年01月04日 10:00,广州白云嘉禾,55,良,38 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州从化街口,52,良,36 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州广雅中学,52,良,35 μg/m,,PM10
广州,2023年01月04日 10:00,广州黄埔科学城,52,良,36 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州麓湖,52,良,36 μg/m,,PM2.5
广州,2023年01月04日 10:00,广州白云竹料,48,优,34 μg/m,,
广州,2023年01月04日 10:00,广州番禺中学,48,优,34 μg/m,,
广州,2023年01月04日 10:00,广州体育西,48,优,34 μg/m,,
广州,2023年01月04日 10:00,广州番禺大学城,47,优,30 μg/m,,
广州,2023年01月04日 10:00,广州广东商学院,47,优,33 μg/m,,
广州,2023年01月04日 10:00,广州南沙黄阁,45,优,29 μg/m,,
广州,2023年01月04日 10:00,广州九龙镇镇龙,44,优,31 μg/m,,
广州,2023年01月04日 10:00,广州从化良口,43,优,30 μg/m,,
广州,2023年01月04日 10:00,广州南沙街,43,优,30 μg/m,,
广州,2023年01月04日 10:00,广州增城荔城,41,优,29 μg/m,,
北京,2023年01月04日 10:00,北京延庆石河营,68,良,49 μg/m,,PM2.5
北京,2023年01月04日 10:00,北京丰台小屯,67,良,37 μg/m,,PM10
北京,2023年01月04日 10:00,北京延庆夏都,65,良,47 μg/m,,PM2.5
北京,2023年01月04日 10:00,北京古城,64,良,34 μg/m,,PM10
北京,2023年01月04日 10:00,北京昌平镇,61,良,37 μg/m,,PM10
北京,2023年01月04日 10:00,北京房山燕山,61,良,43 μg/m,,PM2.5
北京,2023年01月04日 10:00,北京门头沟三家店,61,良,41 μg/m,,PM10
北京,2023年01月04日 10:00,北京海淀万柳,60,良,34 μg/m,,PM10
北京,2023年01月04日 10:00,北京定陵(对照点),56,良,37 μg/m,,PM10
北京,2023年01月04日 10:00,北京丰台云岗,54,良,31 μg/m,,PM10
北京,2023年01月04日 10:00,北京大兴旧宫,51,良,25 μg/m,,PM10
北京,2023年01月04日 10:00,北京平谷新城,51,良,29 μg/m,,PM10
北京,2023年01月04日 10:00,北京通州东关,51,良,27 μg/m,,PM10
上海,2023年01月04日 10:00,上海虹口,60,良,40 μg/m,,PM10
上海,2023年01月04日 10:00,上海杨浦四漂,60,良,38 μg/m,,PM10
上海,2023年01月04日 10:00,上海宝山庙行,59,良,34 μg/m,,PM10
上海,2023年01月04日 10:00,上海长宁仙霞,56,良,30 μg/m,,PM10
上海,2023年01月04日 10:00,上海浦东新区监测站,55,良,34 μg/m,,PM10
上海,2023年01月04日 10:00,上海普陀,55,良,38 μg/m,,PM2.5
上海,2023年01月04日 10:00,上海静安监测站,53,良,33 μg/m,,PM10
上海,2023年01月04日 10:00,上海青浦徐泾,51,良,27 μg/m,,PM10
上海,2023年01月04日 10:00,上海浦东川沙,50,优,35 μg/m,,
上海,2023年01月04日 10:00,上海松江图书馆,50,优,20 μg/m,,
上海,2023年01月04日 10:00,上海金山新城,46,优,32 μg/m,,
上海,2023年01月04日 10:00,上海闵行浦江,46,优,32 μg/m,,
上海,2023年01月04日 10:00,上海奉贤南桥新城,44,优,20 μg/m,,
上海,2023年01月04日 10:00,上海嘉定南翔,44,优,31 μg/m,,
上海,2023年01月04日 10:00,上海浦东惠南,44,优,25 μg/m,,
上海,2023年01月04日 10:00,上海徐汇上师大,44,优,23 μg/m,,
上海,2023年01月04日 10:00,上海十五厂,41,优,29 μg/m,,
北京,2023年01月04日 10:00,北京东四,45,优,22 μg/m,,
北京,2023年01月04日 10:00,北京顺义新城,41,优,17 μg/m,,
北京,2023年01月04日 10:00,北京农展馆,40,优,19 μg/m,,
北京,2023年01月04日 10:00,北京密云镇,37,优,17 μg/m,,
北京,2023年01月04日 10:00,北京万寿西宫,37,优,22 μg/m,,
北京,2023年01月04日 10:00,北京官园,36,优,21 μg/m,,
北京,2023年01月04日 10:00,北京怀柔新城,36,优,22 μg/m,,
北京,2023年01月04日 10:00,北京天坛,36,优,22 μg/m,,
北京,2023年01月04日 10:00,北京奥体中心,35,优,20 μg/m,,
北京,2023年01月04日 10:00,北京怀柔镇,35,优,20 μg/m,,
北京,2023年01月04日 10:00,北京密云新城,30,优,17 μg/m,,
上海,2023年01月04日 10:00,上海浦东张江,40,优,27 μg/m,,
上海,2023年01月04日 10:00,上海崇明上实东滩,18,优,9 μg/m,,
深圳,2023年01月04日 10:00,深圳西乡,53,良,31 μg/m,,PM10
深圳,2023年01月04日 10:00,深圳横岗,52,良,36 μg/m,,PM2.5
深圳,2023年01月04日 10:00,深圳民治,52,良,33 μg/m,,PM10
深圳,2023年01月04日 10:00,深圳坪山,51,良,34 μg/m,,PM10
深圳,2023年01月04日 10:00,深圳观澜,50,优,32 μg/m,,
深圳,2023年01月04日 10:00,深圳洪湖,50,优,35 μg/m,,
深圳,2023年01月04日 10:00,深圳莲花,48,优,34 μg/m,,
深圳,2023年01月04日 10:00,深圳龙岗,47,优,33 μg/m,,
深圳,2023年01月04日 10:00,深圳南海子站,45,优,30 μg/m,,
深圳,2023年01月04日 10:00,深圳华侨城,43,优,30 μg/m,,
深圳,2023年01月04日 10:00,深圳梅沙,42,优,28 μg/m,,
深圳,2023年01月04日 10:00,深圳通心岭子站,42,优,-,,
深圳,2023年01月04日 10:00,深圳葵涌,41,优,29 μg/m,,
深圳,2023年01月04日 10:00,深圳盐田,40,优,28 μg/m,,
深圳,2023年01月04日 10:00,深圳南澳,35,优,23 μg/m,,
